date,a2c,ddpg,ppo,td3,sac
2023-06-20 14:00:00,1286218.0558890002,,,,
2023-06-20 15:00:00,1320889.4728890003,,,,
2023-06-21 09:00:00,1140409.5408890003,,,,
2023-06-21 10:00:00,1310402.8078890003,,,,
2023-06-21 11:00:00,1290834.2838890003,,,,
2023-06-21 12:00:00,1316517.7888890002,,,,
2023-06-21 13:00:00,1293181.8394880001,,,,
2023-06-21 14:00:00,1454970.6694700003,,,,
2023-06-21 15:00:00,1177923.39647,,,,
2023-06-22 09:00:00,952313.2154700002,,,,
2023-06-22 10:00:00,1300392.1204700002,,,,
2023-06-22 11:00:00,1580550.38047,,,,
2023-06-22 12:00:00,1043008.0724700001,,,,
2023-06-22 13:00:00,968319.5084700001,,,,
2023-06-22 14:00:00,1187957.2664700004,,,,
2023-06-22 15:00:00,1304325.5834700002,,,,
2023-06-23 09:00:00,1452887.90947,,,,
2023-06-23 10:00:00,755486.2104700002,,,,
2023-06-23 11:00:00,944168.5304700002,,,,
2023-06-23 12:00:00,1572228.9994700004,,,,
2023-06-23 13:00:00,950321.0774700001,,,,
2023-06-23 14:00:00,1132875.12847,,,,
2023-06-23 15:00:00,1297072.33847,,,,
2023-06-26 09:00:00,1292797.0294700002,,,,
2023-06-26 10:00:00,1232211.7444700003,,,,
2023-06-26 11:00:00,1564461.56747,,,,
2023-06-26 12:00:00,1215599.6074700002,,,,
2023-06-26 13:00:00,1441814.20147,,,,
2023-06-26 14:00:00,789670.3924700003,,,,
2023-06-26 15:00:00,1171866.55147,,,,
2023-06-27 09:00:00,950496.9534700003,,,,
2023-06-27 10:00:00,1266133.82147,,,,
2023-06-27 11:00:00,1259397.30147,,,,
2023-06-27 12:00:00,1224338.44747,,,,
2023-06-27 13:00:00,942119.4124700003,,,,
2023-06-27 14:00:00,1232723.9334700003,,,,
2023-06-27 15:00:00,1231778.88947,,,,
2023-06-28 09:00:00,953076.97447,,,,
2023-06-28 10:00:00,1562771.3084700003,,,,
2023-06-28 11:00:00,1574539.93947,,,,
2023-06-28 12:00:00,1232975.65547,,,,
2023-06-28 13:00:00,1453526.9104700002,,,,
2023-06-28 14:00:00,791734.7844700001,,,,
2023-06-28 15:00:00,931298.58447,,,,
2023-06-29 09:00:00,1128368.4274700002,,,,
2023-06-29 10:00:00,1278485.5924700003,,,,
2023-06-29 11:00:00,1276908.4104700002,,,,
2023-06-29 12:00:00,1331192.5654700003,,,,
2023-06-29 13:00:00,1280718.41647,,,,
2023-06-29 14:00:00,1265531.6184700003,,,,
2023-06-29 15:00:00,1225606.2144700002,,,,
2023-06-30 09:00:00,1242119.42847,,,,
2023-06-30 10:00:00,973212.9844700001,,,,
2023-06-30 11:00:00,1074810.62947,,,,
2023-06-30 12:00:00,1038167.5004700001,,,,
2023-06-30 13:00:00,1393243.2284700002,,,,
2023-06-30 14:00:00,1362476.11947,,,,
2023-06-30 15:00:00,1265266.41247,,,,
2023-07-03 09:00:00,1293684.2544700003,,,,
2023-07-03 10:00:00,1146518.2254700004,,,,
2023-07-03 11:00:00,1309207.5734700002,,,,
2023-07-03 12:00:00,1296663.74047,,,,
2023-07-03 13:00:00,1341401.9484700002,,,,
2023-07-03 14:00:00,1299083.55647,,,,
2023-07-03 15:00:00,1461740.34647,,,,
2023-07-05 09:00:00,1197462.3996630001,,,,
2023-07-05 10:00:00,977772.032933,,,,
2023-07-05 11:00:00,1304644.5459109999,,,,
2023-07-05 12:00:00,1147548.096911,,,,
2023-07-05 13:00:00,1320243.876911,,,,
2023-07-05 14:00:00,1306774.696911,,,,
2023-07-05 15:00:00,1248383.423911,,,,
2023-07-06 09:00:00,942733.4679110001,,,,
2023-07-06 10:00:00,1241005.707911,,,,
2023-07-06 11:00:00,1235318.8189109997,,,,
2023-07-06 12:00:00,965785.2119110002,,,,
2023-07-06 13:00:00,1580271.160911,,,,
2023-07-06 14:00:00,1602586.258911,,,,
2023-07-06 15:00:00,1243363.3899110002,,,,
2023-07-07 09:00:00,1476497.9829109998,,,,
2023-07-07 10:00:00,808523.2969110002,,,,
2023-07-07 11:00:00,970733.5479110001,,,,
2023-07-07 12:00:00,1304737.429911,,,,
2023-07-07 13:00:00,1248306.3699110001,,,,
2023-07-07 14:00:00,1245695.2809109997,,,,
2023-07-07 15:00:00,971494.3919110004,,,,
2023-07-10 09:00:00,1580454.323911,,,,
2023-07-10 10:00:00,944607.8669110001,,,,
2023-07-10 11:00:00,1300443.029911,,,,
2023-07-10 12:00:00,1284171.111911,,,,
2023-07-10 13:00:00,1225157.497911,,,,
2023-07-10 14:00:00,931944.2719110003,,,,
2023-07-10 15:00:00,1224633.722911,,,,
2023-07-11 09:00:00,1229989.330911,,,,
2023-07-11 10:00:00,970327.5919110001,,,,
2023-07-11 11:00:00,1595309.855911,,,,
2023-07-11 12:00:00,1601443.9319109998,,,,
2023-07-11 13:00:00,1238002.533911,,,,
2023-07-11 14:00:00,1476352.008911,,,,
2023-07-11 15:00:00,816791.0819110002,,,,
2023-07-12 09:00:00,987990.4749110001,,,,
2023-07-12 10:00:00,1326748.9659110003,,,,
2023-07-12 11:00:00,1261799.076911,,,,
2023-07-12 12:00:00,1258210.7979110002,,,,
2023-07-12 13:00:00,987866.9169110002,,,,
2023-07-12 14:00:00,1637148.255911,,,,
2023-07-12 15:00:00,1639408.696911,,,,
2023-07-13 09:00:00,1000567.2469110001,,,,
2023-07-13 10:00:00,1355225.1319110002,,,,
2023-07-13 11:00:00,993614.7449110002,,,,
2023-07-13 12:00:00,1665677.8359110001,,,,
2023-07-13 13:00:00,1667318.836911,,,,
2023-07-13 14:00:00,1281971.065911,,,,
2023-07-13 15:00:00,1526537.6759110002,,,,
2023-07-14 09:00:00,832048.9219110003,,,,
2023-07-14 10:00:00,976614.0859110001,,,,
2023-07-14 11:00:00,1692791.661911,,,,
2023-07-14 12:00:00,1065341.8489110002,,,,
2023-07-14 13:00:00,932168.4269110002,,,,
2023-07-14 14:00:00,847575.8519110002,,,,
2023-07-14 15:00:00,991158.2069110001,,,,
2023-07-17 09:00:00,1361906.6669110002,,,,
2023-07-17 10:00:00,1275846.641911,,,,
2023-07-17 11:00:00,1278082.999911,,,,
2023-07-17 12:00:00,997852.1929110001,,,,
